[Mon Dec 09 20:49:41.428603 2019] [php7:emerg] [pid 11735] [client 132.178.207.16:11604] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/carsonsmith/public_html/show-post.php on line 78, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=49
[Mon Dec 09 20:49:43.039756 2019] [php7:emerg] [pid 11736] [client 132.178.207.16:13146] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/carsonsmith/public_html/show-post.php on line 78
[Mon Dec 09 20:49:43.391023 2019] [php7:emerg] [pid 11737] [client 132.178.207.16:20380] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/carsonsmith/public_html/show-post.php on line 78
[Mon Dec 09 20:50:13.399829 2019] [php7:emerg] [pid 11836] [client 132.178.207.16:28692] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/carsonsmith/public_html/show-post.php on line 78
[Mon Dec 09 20:50:14.123601 2019] [php7:emerg] [pid 11856] [client 132.178.207.16:25105] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/carsonsmith/public_html/show-post.php on line 78
[Mon Dec 09 20:50:14.510256 2019] [php7:emerg] [pid 11889] [client 132.178.207.16:55624] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/carsonsmith/public_html/show-post.php on line 78
[Mon Dec 09 20:50:14.927856 2019] [php7:notice] [pid 11917] [client 132.178.207.16:12839] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:50:14.928085 2019] [php7:notice] [pid 11917] [client 132.178.207.16:12839] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:51:04.925191 2019] [php7:notice] [pid 12095] [client 132.178.207.16:62700] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:51:04.925405 2019] [php7:notice] [pid 12095] [client 132.178.207.16:62700] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:52.936393 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:52.936613 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:53.960214 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:53.960264 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:54.538625 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:54.538658 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:55.129265 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:55.129461 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:55.655492 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:55.655643 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:56.262010 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:56.262174 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:56.836863 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:52:56.837043 2019] [php7:notice] [pid 12129] [client 132.178.207.16:42741] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:53:07.826046 2019] [php7:notice] [pid 12212] [client 132.178.207.16:54749] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:53:07.826253 2019] [php7:notice] [pid 12212] [client 132.178.207.16:54749] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:53:08.795602 2019] [php7:notice] [pid 12214] [client 132.178.207.16:28010] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:53:08.795861 2019] [php7:notice] [pid 12214] [client 132.178.207.16:28010] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:53:09.339831 2019] [php7:notice] [pid 12212] [client 132.178.207.16:54749] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:53:09.340001 2019] [php7:notice] [pid 12212] [client 132.178.207.16:54749] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75
[Mon Dec 09 20:53:15.347391 2019] [php7:warn] [pid 12214] [client 132.178.207.16:28010] PHP Warning:  Use of undefined constant email - assumed 'email' (this will throw an Error in a future version of PHP) in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=news-and-announcements
[Mon Dec 09 20:53:15.347592 2019] [php7:notice] [pid 12214] [client 132.178.207.16:28010] PHP Notice:  Object of class objects\\User could not be converted to int in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=news-and-announcements
[Mon Dec 09 20:53:15.347680 2019] [php7:warn] [pid 12214] [client 132.178.207.16:28010] PHP Warning:  A non-numeric value encountered in /home/carsonsmith/public_html/index.php on line 14, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=news-and-announcements
[Mon Dec 09 20:53:18.238841 2019] [php7:notice] [pid 12214] [client 132.178.207.16:28010] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/
[Mon Dec 09 20:53:18.239001 2019] [php7:notice] [pid 12214] [client 132.178.207.16:28010] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/
[Mon Dec 09 20:53:25.505965 2019] [php7:notice] [pid 12214] [client 132.178.207.16:28010] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/
[Mon Dec 09 20:53:25.506755 2019] [php7:notice] [pid 12214] [client 132.178.207.16:28010] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/
[Mon Dec 09 21:10:21.862793 2019] [php7:notice] [pid 13080] [client 132.178.207.16:39110] PHP Notice:  Undefined index: slug in /home/carsonsmith/public_html/category.php on line 5, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=48
[Mon Dec 09 21:10:21.863626 2019] [php7:notice] [pid 13080] [client 132.178.207.16:39110] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/category.php on line 24, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=48
[Mon Dec 09 21:10:21.871006 2019] [php7:notice] [pid 13080] [client 132.178.207.16:39110] PHP Notice:  Trying to get property 'parent_category_id' of non-object in /home/carsonsmith/src/template.php on line 219, referer: http://carsonsmith.cs-401.hehm.net/show-post.php?id=48
[Mon Dec 09 21:10:27.892363 2019] [php7:notice] [pid 13080] [client 132.178.207.16:39110] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:10:27.892603 2019] [php7:notice] [pid 13080] [client 132.178.207.16:39110] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:09.863431 2019] [php7:notice] [pid 13201] [client 132.178.207.16:53049] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:09.864083 2019] [php7:notice] [pid 13201] [client 132.178.207.16:53049] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:10.569003 2019] [php7:notice] [pid 13201] [client 132.178.207.16:53049] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:10.569233 2019] [php7:notice] [pid 13201] [client 132.178.207.16:53049] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:11.113463 2019] [php7:notice] [pid 13201] [client 132.178.207.16:53049] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:11.113688 2019] [php7:notice] [pid 13201] [client 132.178.207.16:53049] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:11.643169 2019] [php7:notice] [pid 13201] [client 132.178.207.16:53049] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:11.643428 2019] [php7:notice] [pid 13201] [client 132.178.207.16:53049] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:12.154892 2019] [php7:warn] [pid 13201] [client 132.178.207.16:53049] PHP Warning:  Declaration of template\\NewUserPage::renderNav() should be compatible with template\\HtmlPage::renderNav($key) in /home/carsonsmith/src/template.php on line 169, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:12.155209 2019] [php7:warn] [pid 13201] [client 132.178.207.16:53049] PHP Warning:  Declaration of template\\AdminPage::renderNav() should be compatible with template\\HtmlPage::renderNav($key) in /home/carsonsmith/src/template.php on line 274, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:12.159183 2019] [php7:notice] [pid 13201] [client 132.178.207.16:53049] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:12.159842 2019] [php7:notice] [pid 13201] [client 132.178.207.16:53049] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:12.744348 2019] [php7:notice] [pid 13201] [client 132.178.207.16:53049] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:12.744566 2019] [php7:notice] [pid 13201] [client 132.178.207.16:53049] PHP Notice:  Trying to get property 'id' of non-object in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
[Mon Dec 09 21:12:14.442354 2019] [php7:notice] [pid 13201] [client 132.178.207.16:53049] PHP Notice:  Undefined variable: post in /home/carsonsmith/public_html/show-post.php on line 75, referer: http://carsonsmith.cs-401.hehm.net/category.php?slug=general-discussion&?page=1
